JobTitle,Company,Location,Salary,JobDescription,QualificationsSkills
Senior Manager Product Management,Capital One,San Francisco,$210.5K - $240.3K,"Develop and communicate the product vision for the Agentic AI platform and user experience. 
Work closely with partner teams to define requirements and measures of success. 
Prioritize the product backlog to maximize business and customer outcomes. 
Incorporate design thinking and analytics to inform product design. 
Enable collaboration and ensure communication between teams. 
Maintain a healthy backlog of work and play a critical role in many agile ceremonies. 
Support the team with escalation and resolution of impediments. 
Serve as the connection between customers, partners, Capital One’s mission, and your team. ","Bachelor’s Degree in Computer Science or Engineering or military experience
MBA or Master’s degree 
At least 5 years of experience in product management or at least 3 years of experience in product design, agile delivery, business analysis, data science, or software engineering"
Security Systems Senior Sales Executive,Siemens,Oakland,$75.4K - $129.2K,"Achieve new order/booking and profit goals based on your assigned quota. 
Develop and maintain a qualified funnel of opportunities including forecasting expected order intake. Deliver on forecasted results consistently. 
Develop a comprehensive understanding of the marketplace, competitor offerings, customers, and decision influencers across the region, segments, and verticals within the region. Keep current on security market business and product trends. 
Develop a vertical market and account management plan that focuses on strategic growth. Identify new business opportunities to grow in new markets or adjacent segments and develop “go to market” strategies to drive business to the end user and the standard construction channel
Act as a consultant to multiple levels of the customer’s organization by understanding their challenges and recommending services to ensure their building systems perform as required to achieve business goals. 
Attend industry-specific networking events; actively participate in professional organizations such as ASHRAE, AEE or USGBC to build a network of contacts and to represent Siemens in the market. 
Consult with the customer and determine budgeting and investment requirements. 
Position Siemens as an industry leader among service providers, leveraging Siemens world-class digital service delivery as a key differentiator. 
Collaborate with operations and internal teams to deliver excellent customer outcomes. 
Work with your internal sales support to enable you to spend more time with your customers. 
Collaborate with sales estimators to prepare cost estimates and customer bid packages. 
Partner with other sales business teams to plan, target, and acquire new projects and accounts. 
Set pricing based on identified value of the services offered to the customer. 
Work with operations, finance, legal and other inside and outside resources to obtain the sale. 
Actively participate in sales department meetings, workshops, and seminars to stay knowledgeable on current market, business, and product trends. 
Expected to spend minimum 50% of time in customer facing activities, performed in person and on customer site.
Work with existing customer base supporting their needs as well as act as a hunter to bring in new customers to the business.
Travel overnight ~10% for training and business development as required based on your assigned territory.","High School Diploma or state-recognized GED
3+ years of Sales Experience in security systems, low voltage systems or related
Must be able to demonstrate financial expertise; estimating and selling technical solutions and service offerings effectively and independently. 
On-the-job experience in account development and strategic sales skills 
Verbal and written communication skills in English
Must be able to demonstrate organizational, presentation, and negotiation skills 
Experience with Microsoft Office suite 
Must be 21 years of age and possess a valid driver's license with limited violations. 
Legally authorized to work in the United States on a continual and permanent basis without company sponsorship."
Analytics Lead,"Qventus, Inc",Mountain View,$125K - $160K,"Deeply understand the business problems of our external and internal users to identify and validate new product opportunities. 
Manage the definition and development of a broad scope of analytics products. 
Refine requirements and enable other developers to execute efficiently. 
Manage team sprints and coordinate cross-functional efforts when needed. 
Ensure analytics products have both rigor and polish to delight our users. 
Facilitate our product, design, and engineering teams’ laser focus on outcomes. ","5+ years of experience in analytics or business intelligence. 
2+ years of experience in product management. 
Healthcare domain experience. 
Excellent communication skills, capable of engaging effectively with customers, partners, and internal teams. 
Proficiency in SQL. 
Proficiency with at least one dashboarding/visualization tool (e.g., Looker, Sigma). 
Comfort structuring and managing end-to-end analytics projects. 
A love for the big picture and a healthy obsession with the details. 
Deep curiosity and a passion for real-world impact. "
Retail Business Banker,Umpqua Bank,San Jose,$94K - $150K,"Initiate and develop new business through outside business development activities including utilizing targeted lists. You will ensure ongoing contact with new clients to enhance client’s initial experience with Umpqua Bank. 
Develop revenue-generating client relationships by calling on prospective or existing customers, identifying prospects, suitable method of contact, and determination of their needs and appropriate products or services including cross market solutions (i.e. lending, deposits, treasury management, wealth management, etc.). You will leverage the Bank’s turnkey solutions including automated scoring. 
Develop a comprehensive understanding of client’s needs, based on the review and analysis of personal and business financial data gathered through relationship review and personal meetings providing integrated delivery of financial services. 
Achieve individual annual production and growth goals for business banking deposits, fees and loans to ensure the bank meets its overall financial targets. 
Build client referral pipeline via identification and development of internal and external centers of influence. 
Build client referral pipeline via identification and development of internal and external centers of influence. 
Partner consistently with other internal business partners to uncover opportunities to deepen the client relationship. 
Actively participates in community organizations to source business development opportunities and maximize. 
Demonstrates compliance with all bank regulations for assigned job function and applies to designated job responsibilities – knowledge may be gained through coursework and on-the-job training. Keeps up to date on regulation changes. 
Follows all Bank policies and procedures, compliance regulations, and completes all required annual or job-specific training. 
Maintain a working knowledge of Bank's written policies and procedures regarding Bank Secrecy Act, Regulation CC, Regulation E, Bank Security and other regulations as applicable to this job description. 
May be asked to coach, mentor, or train others and teach coursework as subject matter expert. 
Actively learns, demonstrates, and fosters the Umpqua corporate culture in all actions and words. 
Takes personal initiative and is a positive example for others to emulate. 
Embraces our vision to become “Business Bank of Choice”
May perform other duties as assigned. ","Bachelor’s degree in business, or equivalent work experience. 
4-7 years of relevant business/commercial banking experience or equivalent., required. 
Strong relationship management skills including, but not limited to: new business development, analytical thinking, problem solving, strong sales skills, and intermediate credit and credit quality skills. 
Strong credit analysis and commercial underwriting skills, including accounting, financial statement and cash flow analysis experience. 
Proven track record of success and skills in developing new clients and business, including prospecting, sourcing and networking. 
Strong knowledge of business banking policies, procedures, practices, and documentation. 
Advanced knowledge of cash management solutions and deposit solutions, including product, policies, procedures, practices, and documentation. 
Demonstrate excellent written and verbal communication and presentation skills. 
Ability to work effectively with individuals and groups across the company to manage customer relationships. 
Ability to train and present to small and large audiences. 
Ability to train and present to small and large audiences. 
Knowledge working with structuring credit products for small businesses in diverse industries. 
Proficient with personal computers and related software packages such as Word and Excel. 
Superior technical credit expertise. Readily mentor's others to grow their skillsets in this space. 
Ability to negotiate/collaborate with Senior Credit Officers on credit terms and structures. 
Experience with syndications, asset-based lending, capital structure finance, leveraged lending, enterprise value lending, and trade finance. 
Experience with underwriting and/or managing Shared National Credits (SNC). "
Senior Customer Marketing Manager ,Cresta,San Francisco,$121K–$203K,"You will build and scale the customer marketing function at Cresta across the key focus areas of advocacy, references, reviews, and campaigns
You’ll develop a consistent pipeline of public customer stories, expressed across various mediums like written case studies, professionally produced videos, slides and sales collateral, and live event speaking opportunities
You’ll partner with Revenue Operations and CS to design and manage a scalable, programmatic customer reference program that helps our sales team win new business opportunities
You’ll launch customer relationship surveys to better measure our customer experience, identify areas of improvement in the Cresta transformation journey, and identify new advocates
You’ll partner with Product Marketing, Demand Gen, and our Customer Center of Excellence to develop customer communications and campaigns related to areas such as release marketing, expansion campaigns, and adoption programs
You’ll develop and run programs to drive public reviews of Cresta across sites like G2 and Gartner Peer Insights
You’ll partner with Field Marketing, Product Marketing and CS to execute a world-class Customer Advisory Board program designed to provide memorable networking, learning and feedback opportunities for Cresta’s most strategic customer leaders","7+ years of experience developing strategy, building and driving customer marketing programs at high growth SaaS companies
Experience scaling high-touch customer advocacy programs 
Experience building the strategy, implementing, and managing a formal reference program
Experience with customer relationship surveys and using their results to influence strategy, roadmap prioritization, and advocacy programs
Experience driving customer engagement with major review sites like G2 and/or Gartner Peer Insights
Experience developing and overseeing customer-facing communication programs, campaigns, and sales plays that drive increased usage and value in existing products, as well as expansion pipeline and revenue 
Ideal experience in software categories related to contact centers, customer experience and virtual agents 
Domain knowledge of large language models and applications of AI in the enterprise 
Experience in hyper-growth scale-ups"
Lead Financial Analyst ,Intuit,Mountain View,$146.5K - $198.5K,"Strategic planning: Be a trusted advisor to the QuickBooks Workforce Solutions leadership team to develop and refine our 1- and 3-year strategic plans, proactively highlighting risks and opportunities related to business growth and drive optimal investment decisions through data-driven insights and business modeling expertise.
Operational excellence: Partner with the Product, Marketing and Analytics partners to develop and monitor key performance indicators to drive insights and decision making in order to achieve our strategic and financial plans.
Modeling: Work with business partners and finance colleagues to create financial models to analyze complex business scenarios that drive and inform our go-to-market strategy (e.g. promotion, pricing, new sales channel opportunities, product development priorities).
Financial reporting: Prepare financial reporting deliverables (month-end close package, variance explanations, etc) to enable transparency into the business’s performance and drivers. Liaise with the Corporate Accounting team and cross-functional business partners to ensure correct accounting treatment of business activities.
Process improvement: Drive efficiencies and continuous improvement by streamlining, standardizing and automating processes and reporting requirements.","Undergrad in Finance, Accounting or Business Management or equivalent work experience; Masters in Finance a plus
6 - 8 years FP&A experience or equivalent tenure from related positions in corporate finance, investment banking, private equity, or analytics
4+ years of experience with financial forecasting or analytic modeling
Enjoy operating in an extremely fast-paced, entrepreneurial environment
Proven track record of translating business results into an insightful & consumable story for leadership teams, ideally in high-growth software / SaaS environments
Excellent verbal and written communication skills with proven ability to partner with all levels of the organization, influence stakeholders using data and collaborate in an inclusive culture
Detail-oriented with strong analytical, problem solving, and financial modeling skills
Self-starter with a desire to quickly learn and excel; willing and able to initiate, manage, and execute projects with minimal supervision
Grace under pressure with a good sense of humor and dose of humility
Advanced Excel and PowerPoint skills; experience with Hyperion Essbase preferred
Experience with a Human Capital Management business a plus"
Brand and Digital Marketing Lead ,Waymo,Mountain View,$243K - $308K,"Drive an insights-driven content strategy that helps Waymo unlock rapid brand growth
Write compelling narratives about our brand and technology for different audiences (technical and non-technical)
Oversee and directly manage all digital communications including Waymo websites and newsletters
Monitor and report on the performance of brand programs to senior executives and XFN collaborators, providing recommendations for continuous improvement
Oversee cohesive brand activation plans across social media, brand advertising, and integrations into culture and entertainment
Provide mentorship to brand marketing and social media leads, setting the team's goals and strategic vision","14+ years' experience in content strategy, brand-building, and social media marketing
Bachelor's degree or equivalent (MBA preferred)
Experience building marketing plans for global or high-growth stage brands
Applied use of consumer insights, marketing analytics and measurement models
Experience motivating and influencing others at all levels of an organization, both directly and across teams
Passionate individual contributor who will lead important workstreams while also mentoring and inspiring the broader team"
Compensation Partner,Anthropic,San Francisco,$230K - $285K,"We are seeking an experienced Compensation Partner to join our small and mighty Total Rewards team. This role will support Sales and G&A orgs on the strategy, design and execution of Anthropic’s compensation programs - including salary, variable compensation, equity, as well as other creative programs that support our diverse and growing team! This role is a great fit for someone who has both seen compensation excellence at scale and operated in rapidly scaling, high-ambiguity environments with evolving scope.","At least 10+ years of experience in Compensation, preferably in a high growth environment.
Demonstrated experience with sales plan design and implementation.
Strong collaboration and program management skills, with a track record of taking on ambiguously-scoped projects and taking ownership to deliver amazing results.
Exceptional communicator, particularly in writing. "
Lead Product Manager,Verkada,San Mateo,$200K - $275K,"We are looking for a Lead Product Manager to drive the next generation of Verkada Alarms threat detection monitoring. In this role, your mission is to take our human-in-the-loop monitoring to the next level, developing solutions that require close to zero training of operators, 99.99% reliability in agent decisions, and industry leading response speed – all while keeping operations within defined cost parameters.","5+ years of experience in product management, preferably in B2B
Undergraduate degree in Computer Science, Electrical Engineering, or similar quantitative field. MS, PhD, or MBA optional
Proven history of designing and landing optimized user experiences; a strong intuition for simplifying complex concepts is critical to success in this role
Ability to design operational workflows for efficiency, accuracy, and cost; prior operational experience is a plus
Demonstrated ability to work cross functionally with both internal teams and 3rd party partners on mission critical operations"
Machine Learning Systems Engineer,AMD,San Jose,$192K - $288K,"We are looking for a Machine Learning Engineer to join our Models and Applications team. If you are excited by the challenge of distributed training of large models on a large number of GPUs, and if you are passionate about improving training efficiency while innovating and generating new ideas, then this role is for you. You will be part of a world class team focused on addressing the challenge of training generative AI.","A Master's degree in Computer Science, Artificial Intelligence, Machine Learning, or a related field.
Experience with distributed system management, e.g. Kubernetes.
Experience with ML frameworks such as PyTorch, JAX, or TensorFlow.
Experience with distributed training and distributed training frameworks, such as Megatron-LM.
Experience with LLMs or computer vision, especially large models, is a plus.
Excellent Python programming skills, including debugging, profiling, and performance analysis.
Experience with ML pipelines.
Strong communication and problem-solving skills."
Data Engineer ,Adobe,San Jose,$113.4K - $206.3K,"Design and develop distributed services that are resilient, highly available and scalable. 
Collaborate with business partners, architects, technical leads, product management and analysts to develop high-quality customer centric solutions. 
Participate in all aspects of software development activities, including design, coding, code review, unit and integration testing, bug fixing, deploy and code/API documentation. 
Own feature development from inception to production rollout and postmortem & contribute to the development of engineering processes. 
Help evaluate innovative technologies and incorporate them into our stack. ","B.S. or M.S. in Computer Science or equivalent engineering degree. 
3+ years of software engineering experience having built highly maintainable, scalable systems with Scala/Java or comparable strongly typed language. 
Experience with data transformation & ELT pipelines on large data sets using Databricks, SnowFlake, SQL, Python, Jupyter Notebooks. 
Excellent data analysis, problem-solving skills & proficiency with data visualization tools (e.g. Power BI, Tableau, Looker)
Experience with building & deploying machine learning models & ML pipelines such as Sklearn, Tensorflow, PyTorch, KubeFlow, MLFlow, SageMaker, or similar. 
Ability to multi-task simultaneously different projects, having a positive outlook, motivated learner with strong interpersonal and written and verbal communication skills. "
Marketing Specialist ,Supermicro,San Jose,$69K - $95K,"We are looking for an enthusiastic Marketing Specialist to help us in our overall marketing efforts. You will be an integral part of the development and execution of marketing plans from brand awareness to product promotion. A Marketing specialist should be a competent professional able to grasp consumer behavior trends and generate creative ideas. You should also be well-versed in specialized marketing concepts, principles and tactics. The goal is to deliver effective marketing programs that will help our reputation and growth.","5+ yrs of experience in client/vendor relationship management 
Good knowledge of all advertising vehicles from traditional billboards, print to digital advertising and lead generation. 
Strong document control and organization skills, proficiency with MS Excel, Word and Microsoft Powerpoint 
Experience with marketing automation tools, such as hubspot, marketo, salesforce, etc. 
Experience with social media platforms and paid/advertising platforms, such as Google Ads, FB/X/Linkedin Ad manager. 
Proven ability to multi-task and prioritize when several different projects are assigned simultaneously 
Strong communication and collaboration skills 
Ability to work collaboratively in a team 
Must be proactive and able to start and finish projects "
Software Engineer,Snowflake,Menlo Park,$157K - $230K,"Design and build features, and/or distributed platforms at scale. 
Drive impactful initiatives for the globally distributed infrastructure
Collaborate with product managers, architects, other engineering teams, and business groups, to drive end-to-end solutions.
Contribute to improving our engineering processes, tooling, and standards.","2-5 years’ of industry experience designing, building, and supporting large-scale systems in production.
Strong fundamental computer science skills. Knowledge of algorithms and data structures.
Fluency in Java, Python, and SQL 
Deep multi-faceted appreciation in building end-to-end customer facing products.
Experience in customer-facing product development and collaboration with cross-functional teams.
BS/MS/PhD in Computer Science or related majors, or equivalent experience."
Executive Assistant,CrowdStrike,Sunnyvale,$100K - $170K,"We are seeking a highly skilled and motivated Executive Assistant to join CrowdStrike, a dynamic and fast-paced technology company. This role requires an independent self-starter with excellent problem-solving abilities, a keen attention to detail, and significant experience managing global travel logistics. The ideal candidate thrives under pressure, adapts quickly in a fast-paced environment, and exercises sound judgment while handling confidential information with discretion.","Experience: 5+ years of experience providing executive-level support, with demonstrated experience supporting senior executives at a high-profile organization.
Education: Bachelor's degree or equivalent work experience preferred.
Global Travel Expertise: Significant experience managing complex global travel, including the preparation of all necessary documentation for international travel.
Technical Proficiency: Demonstrated high aptitude for learning new tools, systems, and processes quickly, with the ability to adapt to evolving technologies and workflows. Strong working knowledge of Microsoft Office and Google Suite.
Adaptability: Thrive in a fast-paced, often ambiguous environment, and handle changes with a positive, proactive attitude.
Attention to Detail: Impeccable attention to detail in every task, ensuring flawless execution in scheduling, documentation, and travel arrangements.
Prioritization and Urgency: Skilled in managing and prioritizing multiple requests simultaneously while maintaining a focus on quality and urgency. The ability to manage time effectively across multiple time zones is essential.
Polished Executive Presence: Represent the CrowdStrike with professional maturity and poise in all interactions and events.
Ownership and Initiative: Take ownership of tasks and projects with minimal supervision, anticipating needs and creating solutions that support the goals of the Office.
Strong Communication Skills: Excellent verbal and written communication skills, with the ability to clearly and effectively communicate across a wide range of stakeholders.
Integrity and Discretion: Display the highest level of integrity and professionalism, handling confidential information with discretion and sound judgment."
Applied Machine Learning Researcher ,Lambda,San Francisco,$225K - $375K,"Incubate research ideas and turn them into practical applications for Lambda’s products.
Work with engineering and product teams to build AI-powered applications.
Focus on LLMs and agentic applications.","A power user of AI applications with a strong sense of what makes them intuitive and effective.
Passionate about turning research into practical applications and pushing their capabilities further.
Have a strong track record of building and delivering in this space.
Strong engineering skills in prototyping and system integration.
Experience with building multi-modal AI applications.
Familiarity with post-training techniques, model steering, or quantization.
Contributions to open-source projects."
Tax Senior,EY,San Francisco,$95.6K - $157.9K,"Depending on the needs of our clients and your work experience, there are many different types of projects you could be working on; identifying ways to improve operational effectiveness in tax functions, reviewing the process and controls that are in place including technology, looking at effectiveness of the various technology systems our tax clients use to increase automation and data quality throughout tax processes, assessing the overall risk to establish a proper control environment; designing and building custom tax applications. As a Senior, you would be working with leadership as a part of these exciting and impactful projects. In addition, you will be required to:

Understand key tax processes, technology, data, analytics, and risks/controls
Establish relationships with peers and effectively balance projects across teams
Support a team in planning and executing internal and external projects
Grow technical skills and business knowledge through training and hands-on experience","Have an interest and experience in improving the performance of tax functions, the demonstrated ability to team with and motivate others, and willingness to develop meaningful and influential relationships with clients and colleagues
Taking ownership of assigned tasks and monitoring them until completion, including documenting requirements, configuration, testing, debugging, project profitability, and tax systems and process configuration
Strong leadership ability, attention to detail, problem-solving skills, analytical abilities 
Identifying ways to automate manual tasks using existing financial or tax systems and emerging technologies
Ability to work on deliverables from offshore teams (as needed) to deliver projects to time, cost and quality requirements 
Consolidating tax data to make analysis and planning more efficient
Improving reporting capabilities to enhance our clients’ ability to evaluate risk and capitalize on opportunities
Desire and demonstrated ability to provide leadership within a team
A bachelor’s degree in Accounting, Finance, Information Systems, Economics and/or a master’s degree in Accounting, Tax Technology, Management Information Systems, or Computer Science or related field and a minimum of 2 years of related work experience
You are required to have one of the following certifications, or the ability to obtain one of these certifications when you join EY: CPA, JD, Six Sigma Green/Black Belt and/or Project Management Professional “PMP”; Master’s degree in Accounting, Tax, Business Administration, Finance, Computer Science, Information Systems or Engineering; Certain other certifications accepted, please inquire for additional details
Exposure to the financial services industry, accounting/finance/tax, tax or finance performance improvement, tax software development and/or implementation 
A strong interest in technology and its use in business processes
Excellent communication and business writing skills
Demonstrated ability to capture and synthesize business requirements
A natural flair for problem solving and an entrepreneurial approach to work
Strong organizational and time management skills, with exceptional client-serving consulting skills"
Software Engineer,Robinhood,Menlo Park,$157K—$185K,"Ship new code to production on Day 1
Build innovative core features for our world-class credit application
Join an exclusive A+ team of software developers
Collaborate with Designers, Product Managers and Engineering Leadership to shape and deliver our next generation credit card products
Help to architect and implement core engineering systems that support our products as we prepare to scale","You have at least three years of software engineering experience
You have a mix of Frontend and Backend experience, including strong experience with React and/or React Native
You are a top-tier developer, passionate about both excellence and execution
You love to move fast and you bring a sense of urgency to your team
You have high standards and a strong work ethic - you always bring your best and expect your colleagues to do the same
You take delight in bringing innovation and impact to customers
You are energized by reaching for scope and defining challenging milestones for yourself
You have superb product sense and excellent communication skills"
